"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12874","TC008: Verify Account in List","EspoCRM E2E Tests","Mon Dec 08 00:27:56 IST 2025","passed","Mon Dec 08 00:28:09 IST 2025","Accounts Module","features\accounts.feature.spec.js","",""
"","8110","TC002: Verify login failure (Invalid Credentials) - User: rweet","Login Tests","Mon Dec 08 00:27:16 IST 2025","passed","Mon Dec 08 00:27:24 IST 2025","Authentication Module > TC002: Verify login failure (Invalid Credentials) - User: <username>","features\login.feature.spec.js","",""
"","5470","TC006: Verify Menu Navigation","EspoCRM E2E Tests","Mon Dec 08 00:28:17 IST 2025","passed","Mon Dec 08 00:28:22 IST 2025","General Navigation Module","features\navigation.feature.spec.js","",""
"","14170","TC004: Verify logout functionality","Login Tests","Mon Dec 08 00:27:25 IST 2025","passed","Mon Dec 08 00:27:39 IST 2025","Authentication Module","features\login.feature.spec.js","",""
"","9961","TC005: Verify Navigation Menu Items","EspoCRM E2E Tests","Mon Dec 08 00:28:12 IST 2025","passed","Mon Dec 08 00:28:22 IST 2025","General Navigation Module","features\navigation.feature.spec.js","",""
"","7508","TC002: Verify login failure (Invalid Credentials) - User: invalid","Login Tests","Mon Dec 08 00:27:16 IST 2025","passed","Mon Dec 08 00:27:23 IST 2025","Authentication Module > TC002: Verify login failure (Invalid Credentials) - User: <username>","features\login.feature.spec.js","",""
"","20447","TC007: Create New Account","EspoCRM E2E Tests","Mon Dec 08 00:27:56 IST 2025","passed","Mon Dec 08 00:28:16 IST 2025","Accounts Module","features\accounts.feature.spec.js","",""
"","63705","TC010: Delete Account","EspoCRM E2E Tests","Mon Dec 08 00:27:56 IST 2025","broken","Mon Dec 08 00:28:59 IST 2025","Accounts Module","features\accounts.feature.spec.js","",""
"","5970","authenticate","setup","Mon Dec 08 00:27:46 IST 2025","passed","Mon Dec 08 00:27:52 IST 2025","","..\tests\auth.setup.ts","",""
"","20119","TC009: Edit Account","EspoCRM E2E Tests","Mon Dec 08 00:27:56 IST 2025","passed","Mon Dec 08 00:28:16 IST 2025","Accounts Module","features\accounts.feature.spec.js","",""
"","7827","TC003: Verify login failure (Empty Fields)","Login Tests","Mon Dec 08 00:27:16 IST 2025","passed","Mon Dec 08 00:27:23 IST 2025","Authentication Module","features\login.feature.spec.js","",""
"","9458","TC001: Verify successful login","Login Tests","Mon Dec 08 00:27:16 IST 2025","passed","Mon Dec 08 00:27:25 IST 2025","Authentication Module","features\login.feature.spec.js","",""
